band_name,fans,formed,origin,split,style,soup
Edge Of Serenity,7,2007,The Netherlands,-,Melodic death,Melodic death The Netherlands
Elixir,7,1983,United Kingdom,1983,New Wave Of british heavy Heavy,New Wave Of british heavy Heavy United Kingdom
Elizium,7,1991,The Netherlands,-,Doom Gothic,Doom Gothic The Netherlands
Enemy Of Reality,7,2013,Greece,2013,Symphonic progressive,Symphonic progressive Greece
Eternal Idol,7,2016,Italy,-,Power Symphonic Heavy Progressive,Power Symphonic Heavy Progressive Italy
Fistula,7,1998,USA,1998,Sludge Drone doom,Sludge Drone doom USA
Flagitious Idiosyncrasy In The Dilapidation,7,2001,Japan,-,Grindcore,Grindcore Japan
Forgive Me,7,2009,Jordan,2009,Depressive black,Depressive black Jordan
Fragile Vastness,7,2000,Greece,-,Progressive Progressive rock,Progressive Progressive rock Greece
Gnostic,7,2005,USA,2005,Technical death Technical thrash,Technical death Technical thrash USA
Graveyard Dirt,7,1994,Ireland,-,Death Doom,Death Doom Ireland
Gridlink,7,2004,USA,2004,Technical grindcore,Technical grindcore USA
Harlott,7,2006,Australia,-,Thrash,Thrash Australia
Heaven Grey,7,1993,Latvia,1993,Gothic doom,Gothic doom Latvia
Hel,7,1994,Germany,2012,Pagan folk,Pagan folk Germany
Ignivomous,7,2006,Australia,2006,Death,Death Australia
Illuminata,7,2006,Austria,-,Melodic power Gothic,Melodic power Gothic Austria
Immensity,7,2009,Greece,2009,Atmospheric doom,Atmospheric doom Greece
Infernal Poetry,7,1996,Italy,2014,Experimental death Progressive death,Experimental death Progressive death Italy
Insanity,7,1985,USA,1985,Death,Death USA
Interitus,7,1993,Czech Republic,-,Symphonic,Symphonic Czech Republic
Isvind,7,1993,Norway,1993,Black,Black Norway
J.B.O.,7,1989,Germany,-,Industrial Comedy rock,Industrial Comedy rock Germany
Jacobs Dream,7,2000,USA,2000,Us power Progressive,Us power Progressive USA
Jig-Ai,7,2005,Czech Republic,-,Death Grindcore,Death Grindcore Czech Republic
Kadavar,7,2007,Italy,2007,Death,Death Italy
KerecsenSólyom,7,2004,Hungary,-,Symphonic folk,Symphonic folk Hungary
Lapis Lazuli,7,2005,Sweden,2005,Symphonic,Symphonic Sweden
Legend,7,1978,USA,1979,Heavy Progressive rock,Heavy Progressive rock USA
Litrosis,7,2010,Greece,2010,Symphonic black Extreme power,Symphonic black Extreme power Greece
Logar's Diary,7,1998,Germany,-,Power,Power Germany
Luctus,7,2001,Lithuania,2001,Black Thrash,Black Thrash Lithuania
Lumus,7,2009,USA,-,Symphonic power,Symphonic power USA
Lust Of Decay,7,1996,USA,1996,Thrash Brutal death,Thrash Brutal death USA
Lvcifyre,7,2007,United Kingdom,-,Black Death,Black Death United Kingdom
Magnitude 9,7,1998,USA,1998,Progressive Power,Progressive Power USA
Malice,7,1980,USA,-,Us heavy Power,Us heavy Power USA
Mastic Scum,7,1992,Austria,1992,Grindcore,Grindcore Austria
Messiah's Kiss,7,2001,Germany,-,Heavy,Heavy Germany
Midnight Priest,7,2008,Portugal,2008,Heavy,Heavy Portugal
Moon,7,2007,Australia,-,Black,Black Australia
Morost,7,2010,Slovenia,2010,Progressive death,Progressive death Slovenia
Mortal Decay,7,1991,USA,-,Brutal death,Brutal death USA
Nibiru,7,2012,Italy,2012,Psychedelic sludge Drone,Psychedelic sludge Drone Italy
Nydvind,7,2000,France,-,Pagan black,Pagan black France
Odyssea,7,2004,Italy,2004,Heavy Power,Heavy Power Italy
Operatika Element,7,2002,USA,-,Symphonic power,Symphonic power USA
Palms,7,2011,USA,2011,Post-rock Post-metal,Post-rock Post-metal USA
Posthumous Blasphemer,7,2001,Belarus,-,Technical death,Technical death Belarus
Poverty's No Crime,7,1991,Germany,1991,Progressive,Progressive Germany
Project: Failing Flesh,7,2001,USA,-,Industrial thrash Avantgarde,Industrial thrash Avantgarde USA
Putrevore,7,2004,Spain,2004,Death,Death Spain
Quadrivium,7,2005,Norway,-,Avantgarde Black,Avantgarde Black Norway
RandomWalk,7,2005,Greece,2005,Gothic Metalcore,Gothic Metalcore Greece
Rorcal,7,2006,Switzerland,-,Doom Sludge Hardcore Black,Doom Sludge Hardcore Black Switzerland
Rumpelstiltskin Grinder,7,2002,USA,2002,Technical thrash,Technical thrash USA
Sanctium,7,2007,Australia,-,Melodic death Progressive,Melodic death Progressive Australia
Seven Thorns,7,1998,Denmark,1998,Power,Power Denmark
Shroud Of Bereavement,7,1996,USA,-,Death doom Neoclassical,Death doom Neoclassical USA
Silent Kingdom,7,1999,Bosnia and Herzegovina,1999,Melodic death Extreme folk,Melodic death Extreme folk Bosnia and Herzegovina
Silent Planet,7,2010,USA,-,Metalcore,Metalcore USA
Slartibartfass,7,2005,Germany,2005,Viking folk,Viking folk Germany
