band_name,fans,formed,origin,split,style,soup
Iron Maiden,4195,1975,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Opeth,4147,1990,Sweden,1990,Extreme progressive Progressive rock Progressive,Extreme progressive Progressive rock Progressive Sweden
Metallica,3712,1981,USA,-,Heavy Bayarea thrash,Heavy Bayarea thrash USA
Megadeth,3105,1983,USA,1983,Thrash Heavy Hard rock,Thrash Heavy Hard rock USA
Amon Amarth,3054,1988,Sweden,-,Melodic death,Melodic death Sweden
Slayer,2955,1981,USA,1981,Thrash,Thrash USA
Death,2690,1983,USA,2001,Progressive death Death Progressive thrash,Progressive death Death Progressive thrash USA
Dream Theater,2329,1985,USA,1985,Progressive,Progressive USA
Black Sabbath,2307,1968,United Kingdom,-,Doom Heavy Hard rock,Doom Heavy Hard rock United Kingdom
Nightwish,2183,1996,Finland,1996,Symphonic power Gothic Symphonic,Symphonic power Gothic Symphonic Finland
Children Of Bodom,2153,1993,Finland,-,Extreme power,Extreme power Finland
Judas Priest,2094,1969,United Kingdom,1969,Heavy Hard rock,Heavy Hard rock United Kingdom
Blind Guardian,2040,1984,Germany,-,Power Speed,Power Speed Germany
In Flames,1932,1990,Sweden,1990,Gothenburg Alternative,Gothenburg Alternative Sweden
Pantera,1920,1981,USA,2003,Heavy Groove thrash Groove metal,Heavy Groove thrash Groove metal USA
Dark Tranquillity,1898,1989,Sweden,1989,Gothenburg,Gothenburg Sweden
Agalloch,1881,1995,USA,2016,Atmospheric black Neofolk,Atmospheric black Neofolk USA
Ensiferum,1879,1995,Finland,1995,Extreme folk,Extreme folk Finland
Arch Enemy,1750,1996,Sweden,-,Gothenburg,Gothenburg Sweden
Katatonia,1735,1991,Sweden,1991,Blackened doom Death doom Alternative rock Gothic doom,Blackened doom Death doom Alternative rock Gothic doom Sweden
Behemoth,1721,1991,Poland,-,Death Black Blackened death,Death Black Blackened death Poland
Dimmu Borgir,1688,1993,Norway,1993,Symphonic black Black,Symphonic black Black Norway
Kreator,1646,1982,Germany,-,Teutonic thrash,Teutonic thrash Germany
Wintersun,1640,2004,Finland,2004,Extreme power,Extreme power Finland
Insomnium,1547,1997,Finland,-,Melodic death,Melodic death Finland
Amorphis,1528,1990,Finland,1990,Death Melodic death Folk Progressive,Death Melodic death Folk Progressive Finland
Kamelot,1520,1991,USA,-,Symphonic power,Symphonic power USA
Tool,1506,1988,USA,1988,Progressive Alternative,Progressive Alternative USA
Helloween,1501,1978,Germany,-,Speed Power,Speed Power Germany
Testament,1500,1983,USA,1983,Bayarea thrash,Bayarea thrash USA
Epica,1450,2002,The Netherlands,-,Symphonic,Symphonic The Netherlands
Immortal,1436,1990,Norway,1990,Death Black,Death Black Norway
Lamb Of God,1433,1999,USA,-,Groove thrash,Groove thrash USA
Iced Earth,1403,1985,USA,1985,Heavy Us power,Heavy Us power USA
Anathema,1400,1990,United Kingdom,-,Death doom Atmospheric rock Doom,Death doom Atmospheric rock Doom United Kingdom
Symphony X,1343,1994,USA,1994,Progressive Symphonic power,Progressive Symphonic power USA
Eluveitie,1328,2002,Switzerland,-,Celtic folk Gothenburg,Celtic folk Gothenburg Switzerland
Gojira,1300,1996,France,1996,Progressive death,Progressive death France
Rammstein,1251,1994,Germany,-,Industrial,Industrial Germany
Sonata Arctica,1242,1996,Finland,1996,Power,Power Finland
Mastodon,1232,1999,USA,-,Progressive stoner Progressive sludge,Progressive stoner Progressive sludge USA
Nile,1189,1993,USA,1993,Brutal death Technical death,Brutal death Technical death USA
Sepultura,1185,1984,Brazil,-,Alternative Death Groove thrash Thrash,Alternative Death Groove thrash Thrash Brazil
Moonspell,1173,1989,Portugal,1989,Folk Gothic black Gothic Symphonic black Black,Folk Gothic black Gothic Symphonic black Black Portugal
Therion,1167,1987,Sweden,-,Death Symphonic,Death Symphonic Sweden
Cannibal Corpse,1162,1988,USA,1988,Death,Death USA
Enslaved,1146,1991,Norway,-,Viking black Progressive black,Viking black Progressive black Norway
Emperor,1132,1991,Norway,1991,Black Symphonic black,Black Symphonic black Norway
Porcupine Tree,1094,1987,United Kingdom,-,Progressive rock Progressive,Progressive rock Progressive United Kingdom
Cradle Of Filth,1084,1991,United Kingdom,1991,Extreme gothic Symphonic black Death Symphonic,Extreme gothic Symphonic black Death Symphonic United Kingdom
Be'lakor,1083,2004,Australia,-,Melodic death,Melodic death Australia
My Dying Bride,1069,1990,United Kingdom,1990,Death doom Gothic doom,Death doom Gothic doom United Kingdom
Led Zeppelin,1054,1968,United Kingdom,1980,Progressive hard rock Heavy Blues rock,Progressive hard rock Heavy Blues rock United Kingdom
Nevermore,1051,1991,USA,1991,Heavy Progressive Thrash,Heavy Progressive Thrash USA
Stratovarius,1046,1982,Finland,-,Power Heavy,Power Heavy Finland
Paradise Lost,1042,1988,United Kingdom,1988,Gothic Electro gothic Death doom,Gothic Electro gothic Death doom United Kingdom
Dio,1023,1982,USA,2010,Heavy,Heavy USA
Kalmah,1004,1991,Finland,1991,Extreme power Melodic death,Extreme power Melodic death Finland
Carcass,1001,1985,United Kingdom,-,Grindcore Melodic death,Grindcore Melodic death United Kingdom
Burzum,978,1989,Norway,1989,Black Dark Ambient Ambient,Black Dark Ambient Ambient Norway
Anthrax,976,1981,USA,-,Thrash Heavy,Thrash Heavy USA
Morbid Angel,975,1984,USA,1984,Death,Death USA
Meshuggah,970,1987,Sweden,-,Technical thrash Math Progressive,Technical thrash Math Progressive Sweden
Finntroll,967,1997,Finland,1997,Extreme folk,Extreme folk Finland
Septicflesh,967,1990,Greece,-,Atmospheric death Symphonic death,Atmospheric death Symphonic death Greece
Moonsorrow,966,1995,Finland,1995,Viking folk,Viking folk Finland
Machine Head,957,1992,USA,-,Groove thrash Progressive thrash,Groove thrash Progressive thrash USA
System Of A Down,956,1995,USA,1995,Alternative,Alternative USA
Within Temptation,956,1996,The Netherlands,-,Symphonic Gothic,Symphonic Gothic The Netherlands
Bathory,942,1983,Sweden,1983,Viking black First wave of black,Viking black First wave of black Sweden
Exodus,937,1980,USA,-,Bayarea thrash,Bayarea thrash USA
Draconian,936,1994,Sweden,1994,Gothic doom,Gothic doom Sweden
Slipknot,928,1995,USA,-,Alternative Nu,Alternative Nu USA
AC/DC,923,1973,Australia,1973,Hard rock Blues rock,Hard rock Blues rock Australia
Ayreon,903,1995,The Netherlands,-,Progressive,Progressive The Netherlands
Swallow The Sun,900,2000,Finland,2000,Melodic death Melodic doom,Melodic death Melodic doom Finland
Gamma Ray,898,1988,Germany,-,Power,Power Germany
Rhapsody Of Fire,896,1993,Italy,1993,Symphonic power,Symphonic power Italy
Hypocrisy,885,1990,Sweden,-,Death Melodic death Gothenburg,Death Melodic death Gothenburg Sweden
Motörhead,875,1975,"United Kingdom, USA",1975,Heavy,Heavy United Kingdom USA
Bloodbath,872,1998,Sweden,-,Death,Death Sweden
Korpiklaani,864,2003,Finland,2003,Folk,Folk Finland
Manowar,863,1980,USA,-,Heavy Us power,Heavy Us power USA
HammerFall,861,1993,Sweden,1993,Power,Power Sweden
At The Gates,839,1990,Sweden,-,Melodic death Gothenburg,Melodic death Gothenburg Sweden
Sabaton,824,1999,Sweden,1999,Power,Power Sweden
Mayhem,823,1984,Norway,-,Death Black,Death Black Norway
Vader,822,1983,Poland,1983,Death,Death Poland
Avantasia,819,1999,Germany,-,Symphonic power,Symphonic power Germany
Rotting Christ,807,1987,Greece,1987,Black Gothic,Black Gothic Greece
Summoning,799,1993,Austria,-,Atmospheric black,Atmospheric black Austria
Sodom,783,1980,Germany,1980,Teutonic thrash,Teutonic thrash Germany
Overkill,770,1980,USA,-,Thrash,Thrash USA
Dissection,768,1989,Sweden,1989,Melodic death Melodic black,Melodic death Melodic black Sweden
Satyricon,768,1990,Norway,-,Black,Black Norway
Rush,767,1968,Canada,1968,Progressive rock,Progressive rock Canada
Darkthrone,753,1986,Norway,-,Death Black Crust punk  Heavy,Death Black Crust punk  Heavy Norway
Ozzy Osbourne,750,1979,"United Kingdom, USA",1979,Heavy,Heavy United Kingdom USA
Devin Townsend,747,1996,Canada,-,Industrial progressive Progressive,Industrial progressive Progressive Canada
Alcest,734,2000,France,2000,Black Shoegaze,Black Shoegaze France
Equilibrium,729,2001,Germany,-,Viking folk,Viking folk Germany
Deep Purple,714,1968,United Kingdom,1968,Heavy Hard rock,Heavy Hard rock United Kingdom
Edguy,714,1992,Germany,-,Power,Power Germany
Soilwork,702,1995,Sweden,1995,Gothenburg,Gothenburg Sweden
Riverside,684,2001,Poland,-,Progressive,Progressive Poland
Trivium,681,2000,USA,2000,Metalcore Alternative thrash,Metalcore Alternative thrash USA
Turisas,672,1997,Finland,-,Folk,Folk Finland
Orphaned Land,662,1991,Israel,1991,Progressive folk Death Folk,Progressive folk Death Folk Israel
Apocalyptica,656,1993,Finland,-,Symphonic heavy,Symphonic heavy Finland
King Diamond,641,1985,"Denmark, USA",1985,Heavy,Heavy Denmark USA
Angra,633,1991,Brazil,-,Progressive power,Progressive power Brazil
Deicide,628,1987,USA,1987,Death,Death USA
Alice In Chains,627,1985,USA,-,Grunge  Heavy,Grunge  Heavy USA
Haggard,622,1991,Germany,1991,Experimental death Symphonic,Experimental death Symphonic Germany
Disturbed,620,1996,USA,-,Nu Alternative,Nu Alternative USA
DragonForce,607,1999,United Kingdom,1999,Power,Power United Kingdom
Lacuna Coil,604,1994,Italy,-,Gothic Alternative,Gothic Alternative Italy
Accept,601,1968,Germany,1968,Heavy,Heavy Germany
Arcturus,601,1990,Norway,-,Avantgarde black Avantgarde,Avantgarde black Avantgarde Norway
Omnium Gatherum,599,1996,Finland,1996,Melodic death,Melodic death Finland
Obituary,596,1984,USA,-,Death,Death USA
Pain Of Salvation,596,1984,Sweden,1984,Progressive Progressive rock,Progressive Progressive rock Sweden
Necrophagist,595,1992,Germany,-,Technical death,Technical death Germany
Fear Factory,594,1989,USA,1989,Industrial Death,Industrial Death USA
Tristania,594,1996,Norway,-,Symphonic gothic Gothic,Symphonic gothic Gothic Norway
Decapitated,587,1996,Poland,1996,Technical death,Technical death Poland
Fleshgod Apocalypse,586,2007,Italy,-,Symphonic death,Symphonic death Italy
Primordial,583,1987,Ireland,1987,Black Celtic folk,Black Celtic folk Ireland
Candlemass,579,1984,Sweden,-,Epic doom,Epic doom Sweden
Scar Symmetry,574,2004,Sweden,2004,Melodic death Progressive power,Melodic death Progressive power Sweden
Eternal Tears Of Sorrow,573,1991,Finland,-,Extreme power Melodic death,Extreme power Melodic death Finland
Marduk,567,1990,Sweden,1990,Black,Black Sweden
Annihilator,565,1984,Canada,-,Thrash Heavy,Thrash Heavy Canada
Alestorm,558,2004,United Kingdom,2004,Folk Power,Folk Power United Kingdom
Ghost,547,2008,Sweden,-,Heavy Psychedelic rock,Heavy Psychedelic rock Sweden
Ulver,545,1992,Norway,1992,Folk Electronic Avantgarde  Black,Folk Electronic Avantgarde  Black Norway
Cynic,542,1987,USA,-,Progressive death Progressive,Progressive death Progressive USA
Ne Obliviscaris,539,2003,Australia,2003,Extreme progressive,Extreme progressive Australia
In Mourning,533,2000,Sweden,-,Gothic Melodic death Progressive,Gothic Melodic death Progressive Sweden
Obscura,532,2002,Germany,2002,Progressive death Technical death,Progressive death Technical death Germany
Korn,531,1993,USA,-,Nu Alternative,Nu Alternative USA
Evergrey,528,1996,Sweden,1996,Progressive Power,Progressive Power Sweden
Týr,526,1998,Faroe Islands,-,Folk,Folk Faroe Islands
Type O Negative,526,1989,USA,1989,Gothic Doom,Gothic Doom USA
Mercyful Fate,525,1981,"Denmark, USA",-,Heavy First wave of black,Heavy First wave of black Denmark USA
Saturnus,522,1991,Denmark,1991,Death Gothic doom,Death Gothic doom Denmark
Bolt Thrower,519,1986,United Kingdom,2016,Death Grindcore,Death Grindcore United Kingdom
Scorpions,519,1965,Germany,1965,Progressive rock Hard rock Heavy,Progressive rock Hard rock Heavy Germany
Napalm Death,516,1981,United Kingdom,-,Hardcore Grindcore Punk,Hardcore Grindcore Punk United Kingdom
Windir,514,1994,Norway,1994,Viking black,Viking black Norway
Sentenced,510,1988,Finland,2005,Death Suomi Depressive heavy Melodic death,Death Suomi Depressive heavy Melodic death Finland
Tiamat,510,1988,Sweden,1988,Death Atmospheric gothic,Death Atmospheric gothic Sweden
Killswitch Engage,500,1999,USA,-,Melodic metalcore,Melodic metalcore USA
Gorgoroth,498,1992,Norway,1992,Black,Black Norway
Celtic Frost,497,1984,Switzerland,2008,First wave of black Avantgarde Thrash,First wave of black Avantgarde Thrash Switzerland
Rainbow,497,1975,United Kingdom,1975,Hard rock Heavy,Hard rock Heavy United Kingdom
Suffocation,497,1990,USA,-,Brutal death,Brutal death USA
Kataklysm,493,1991,Canada,1991,Death,Death Canada
Dying Fetus,488,1991,USA,-,Brutal death Deathgrind Technical death,Brutal death Deathgrind Technical death USA
Norther,488,1996,Finland,1996,Extreme power,Extreme power Finland
Sirenia,488,2001,Norway,-,Symphonic gothic,Symphonic gothic Norway
Savatage,482,1978,USA,1978,Progressive heavy,Progressive heavy USA
Empyrium,481,1994,Germany,-,Doom Folk Neofolk,Doom Folk Neofolk Germany
Guns N' Roses,481,1985,USA,1985,Hard rock,Hard rock USA
Venom,481,1979,United Kingdom,-,First wave of black Heavy,First wave of black Heavy United Kingdom
Dark Funeral,479,1993,Sweden,1993,Black,Black Sweden
Avenged Sevenfold,477,1999,USA,-,Metalcore Heavy Alternative,Metalcore Heavy Alternative USA
Destruction,477,1983,Germany,1983,Teutonic thrash,Teutonic thrash Germany
Edge Of Sanity,472,1989,Sweden,2003,Progressive death,Progressive death Sweden
After Forever,470,1995,The Netherlands,1995,Symphonic gothic Symphonic progressive,Symphonic gothic Symphonic progressive The Netherlands
Ihsahn,464,2005,Norway,-,Extreme progressive Avantgarde,Extreme progressive Avantgarde Norway
Diablo Swing Orchestra,458,2003,Sweden,2003,Avantgarde Symphonic,Avantgarde Symphonic Sweden
Arkona,450,2002,Russia,-,Pagan folk,Pagan folk Russia
Leprous,444,2001,Norway,2001,Progressive,Progressive Norway
Between The Buried And Me,441,2000,USA,-,Progressive metalcore,Progressive metalcore USA
Death Angel,441,1982,USA,1982,Bayarea thrash,Bayarea thrash USA
W.A.S.P.,440,1982,USA,-,Heavy,Heavy USA
As I Lay Dying,424,2001,USA,2001,Melodic metalcore,Melodic metalcore USA
Black Label Society,424,1998,USA,-,Heavy,Heavy USA
Borknagar,420,1995,Norway,1995,Melodic black Progressive black,Melodic black Progressive black Norway
Isis,420,1997,USA,2010,Post-metal Atmospheric sludge,Post-metal Atmospheric sludge USA
Soulfly,417,1997,USA,1997,Groove thrash Nu,Groove thrash Nu USA
Atheist,411,1984,USA,-,Technical death,Technical death USA
DevilDriver,411,2002,USA,2002,Nu Melodic death Groove thrash,Nu Melodic death Groove thrash USA
Shining,410,1996,Sweden,-,Depressive black Progressive black,Depressive black Progressive black Sweden
Strapping Young Lad,409,1995,Canada,1995,Industrial Thrash,Industrial Thrash Canada
The Gathering,409,1989,The Netherlands,-,Doom Death doom Atmospheric gothic Experimental rock,Doom Death doom Atmospheric gothic Experimental rock The Netherlands
Anaal Nathrakh,399,1998,United Kingdom,1998,Black Grindcore,Black Grindcore United Kingdom
Ghost Brigade,398,2005,Finland,-,Post-metal Alternative,Post-metal Alternative Finland
Delain,395,2002,The Netherlands,2002,Symphonic,Symphonic The Netherlands
Watain,391,1998,Sweden,-,Black,Black Sweden
Saxon,387,1976,United Kingdom,1976,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Vektor,387,2002,USA,-,Technical thrash Progressive thrash,Technical thrash Progressive thrash USA
Immolation,386,1986,USA,1986,Death,Death USA
Firewind,382,1998,Greece,-,Power Heavy,Power Heavy Greece
Mors Principium Est,381,1999,Finland,1999,Gothenburg,Gothenburg Finland
Samael,381,1987,Switzerland,-,Black Electro industrial,Black Electro industrial Switzerland
Bullet For My Valentine,379,1998,United Kingdom,1998,Melodic metalcore,Melodic metalcore United Kingdom
Entombed,379,1987,Sweden,-,Death Death ' N' Roll,Death Death ' N' Roll Sweden
Steven Wilson,375,2003,United Kingdom,2003,Progressive rock,Progressive rock United Kingdom
Xandria,372,1994,Germany,-,Gothic Symphonic,Gothic Symphonic Germany
Drudkh,369,2002,Ukraine,2002,Atmospheric black Pagan black,Atmospheric black Pagan black Ukraine
Animals As Leaders,367,2007,USA,-,Progressive Instrumental Djent,Progressive Instrumental Djent USA
Queensrÿche,367,1981,USA,1981,Heavy Progressive heavy Progressive rock,Heavy Progressive heavy Progressive rock USA
Powerwolf,364,2003,Germany,-,Power,Power Germany
Belphegor,363,1991,Austria,1991,Black Death,Black Death Austria
Alice Cooper,362,1964,USA,-,Hard rock Glam rock New Wave  Heavy,Hard rock Glam rock New Wave  Heavy USA
Before The Dawn,359,1999,Finland,1999,Gothic Melodic death,Gothic Melodic death Finland
The Faceless,358,2004,USA,-,Deathcore Progressive death Technical death,Deathcore Progressive death Technical death USA
Deftones,357,1988,USA,1988,Nu Alternative,Nu Alternative USA
Primal Fear,354,1997,Germany,-,Power,Power Germany
Theatre Of Tragedy,354,1993,Norway,1993,Gothic Gothic industrial,Gothic Gothic industrial Norway
KISS,352,1972,USA,-,Hard rock Symphonic rock Glam Heavy,Hard rock Symphonic rock Glam Heavy USA
Down,351,1991,USA,1991,Heavy Sludge Stoner,Heavy Sludge Stoner USA
Skeletonwitch,349,2003,USA,-,Blackened thrash,Blackened thrash USA
Rage Against The Machine,344,1991,USA,1991,Alternative Nu,Alternative Nu USA
Wolves In The Throne Room,343,2004,USA,-,Atmospheric black,Atmospheric black USA
Five Finger Death Punch,342,2005,USA,2005,Groove metal,Groove metal USA
Electric Wizard,341,1993,United Kingdom,-,Doom Stoner,Doom Stoner United Kingdom
Nine Inch Nails,341,1988,USA,1988,Industrial rock Industrial,Industrial rock Industrial USA
Novembers Doom,341,1989,USA,-,Death doom Melodic death,Death doom Melodic death USA
Dethklok,337,2006,USA,2006,Melodic death,Melodic death USA
Faith No More,337,1981,USA,-,Alternative,Alternative USA
Cryptopsy,334,1988,Canada,1988,Brutal death Technical death Death,Brutal death Technical death Death Canada
Falkenbach,332,1989,Germany,-,Black Viking folk Folk,Black Viking folk Folk Germany
Graveworm,331,1992,Italy,1992,Gothic Symphonic black,Gothic Symphonic black Italy
Taake,331,1993,Norway,-,Black,Black Norway
Grave Digger,328,1980,Germany,1980,Heavy,Heavy Germany
Rob Zombie,326,1998,USA,-,Alternative Industrial,Alternative Industrial USA
The Black Dahlia Murder,326,2001,USA,2001,Melodic death Metalcore,Melodic death Metalcore USA
Running Wild,324,1976,Germany,-,Heavy Speed,Heavy Speed Germany
Neurosis,322,1985,USA,1985,Atmospheric sludge Post-hardcore  Post-metal,Atmospheric sludge Post-hardcore  Post-metal USA
Carach Angren,320,2003,The Netherlands,-,Symphonic black,Symphonic black The Netherlands
Dark Moor,320,1994,Spain,1994,Symphonic power,Symphonic power Spain
Baroness,319,2003,USA,-,Sludge Stoner rock Progressive rock,Sludge Stoner rock Progressive rock USA
King Crimson,319,1969,United Kingdom,1969,Progressive rock,Progressive rock United Kingdom
Shape Of Despair,319,1995,Finland,-,Funeral doom,Funeral doom Finland
Bruce Dickinson,315,1989,United Kingdom,1989,Heavy,Heavy United Kingdom
Demons And Wizards,315,1999,USA,-,Heavy Power,Heavy Power USA
Deathspell Omega,314,1998,France,1998,Black Avantgarde,Black Avantgarde France
Lacrimosa,312,1990,Germany,-,Gothic Symphonic,Gothic Symphonic Germany
Coroner,311,1985,Switzerland,1985,Technical thrash,Technical thrash Switzerland
Masterplan,311,2001,Germany,-,Progressive power,Progressive power Germany
Tarja,310,2004,Finland,2004,Symphonic,Symphonic Finland
Ahab,309,2004,Germany,-,Funeral doom,Funeral doom Germany
Melechesh,307,1993,"Israel, The Netherlands",1993,Melodic black Folk,Melodic black Folk Israel The Netherlands
Rage,306,1986,Germany,-,Heavy,Heavy Germany
Cult Of Luna,305,1998,Sweden,1998,Post-metal Sludge,Post-metal Sludge Sweden
Suidakra,305,1994,Germany,-,Melodic death Folk,Melodic death Folk Germany
Yngwie Malmsteen,304,1978,Sweden,1978,Neoclassical power,Neoclassical power Sweden
Kyuss,301,1988,USA,1995,Stoner Stoner rock,Stoner Stoner rock USA
All That Remains,298,1998,USA,1998,Melodic metalcore,Melodic metalcore USA
Marilyn Manson,298,1989,USA,-,Industrial rock Alternative Industrial Glam rock Alternative rock,Industrial rock Alternative Industrial Glam rock Alternative rock USA
Sólstafir,297,1995,Iceland,1995,Atmospheric black Post-rock,Atmospheric black Post-rock Iceland
Woods Of Ypres,297,2002,Canada,2011,Melodic black Doom Gothic doom,Melodic black Doom Gothic doom Canada
Blut Aus Nord,296,1994,France,1994,Atmospheric black Industrial,Atmospheric black Industrial France
Godsmack,296,1995,USA,-,Alternative Hard rock,Alternative Hard rock USA
Haken,293,2007,United Kingdom,2007,Progressive,Progressive United Kingdom
HIM,293,1995,Finland,-,Suomi,Suomi Finland
Warbringer,293,2004,USA,2004,Thrash,Thrash USA
Havok,289,2004,USA,-,Thrash,Thrash USA
Novembre,288,1990,Italy,1990,Death doom Extreme progressive,Death doom Extreme progressive Italy
Evile,285,2004,United Kingdom,-,Thrash,Thrash United Kingdom
Six Feet Under,283,1993,USA,1993,Death,Death USA
Leaves' Eyes,281,2003,Germany,-,Atmospheric symphonic,Atmospheric symphonic Germany
Old Man's Child,281,1989,Norway,1989,Thrash Death Symphonic black,Thrash Death Symphonic black Norway
Chimaira,280,1998,USA,2014,Groove thrash,Groove thrash USA
Persefone,279,2001,Andorra,2001,Melodic death Progressive,Melodic death Progressive Andorra
Heaven Shall Burn,276,1996,Germany,-,Metalcore Melodic death,Metalcore Melodic death Germany
Myrath,275,2001,"Tunisia, France",2001,Progressive Oriental folk,Progressive Oriental folk Tunisia France
Freedom Call,272,1998,Germany,-,Power,Power Germany
Green Carnation,272,1990,Norway,1990,Death Gothic Progressive,Death Gothic Progressive Norway
High On Fire,272,1998,USA,-,Stoner Sludge,Stoner Sludge USA
Metal Church,268,1980,USA,1980,Heavy Thrash,Heavy Thrash USA
Sylosis,267,2000,United Kingdom,-,Melodic death Progressive thrash,Melodic death Progressive thrash United Kingdom
Danzig,266,1988,USA,1988,Hard rock,Hard rock USA
Elvenking,265,1997,Italy,-,Folk Power,Folk Power Italy
Triptykon,265,2008,Switzerland,2008,Blackened thrash Death,Blackened thrash Death Switzerland
Volbeat,264,2001,Denmark,-,Heavy Hard rock,Heavy Hard rock Denmark
The Haunted,263,1996,Sweden,1996,Alternative thrash Thrash Melodic death,Alternative thrash Thrash Melodic death Sweden
Carpathian Forest,262,1990,Norway,-,Black,Black Norway
Van Halen,262,1972,USA,1972,Hard rock Heavy,Hard rock Heavy USA
Falconer,261,1999,Sweden,-,Folk Power,Folk Power Sweden
Pain,261,1996,Sweden,1996,Gothic industrial,Gothic industrial Sweden
Unleashed,260,1989,Sweden,-,Melodic death,Melodic death Sweden
Protest The Hero,258,2001,Canada,2001,Metalcore Progressive metalcore,Metalcore Progressive metalcore Canada
Gorguts,257,1989,Canada,-,Death Technical death Avantgarde,Death Technical death Avantgarde Canada
Circus Maximus,256,2000,Norway,2000,Progressive,Progressive Norway
Aborted,255,1995,Belgium,-,Brutal death Melodic death Grindcore,Brutal death Melodic death Grindcore Belgium
Municipal Waste,254,2000,USA,2000,Crossover thrash,Crossover thrash USA
Virgin Black,253,1995,Australia,-,Gothic Doom,Gothic Doom Australia
Dismember,252,1988,Sweden,1988,Death,Death Sweden
Joe Satriani,252,1984,USA,-,Hard rock Rock Instrumental,Hard rock Rock Instrumental USA
Barren Earth,250,2007,Finland,2007,Melodic death Progressive,Melodic death Progressive Finland
Dream Evil,250,1999,Sweden,-,Heavy Power,Heavy Power Sweden
Krisiun,249,1990,Brazil,1990,Brutal death,Brutal death Brazil
Negur? Bunget,249,1995,Romania,-,Black Folk,Black Folk Romania
Uaral,248,1996,Chile,1996,Doom Neofolk,Doom Neofolk Chile
Amaranthe,247,2008,Sweden,-,Power Industrial,Power Industrial Sweden
Whitesnake,247,1978,United Kingdom,1978,Hard rock,Hard rock United Kingdom
Quo Vadis,246,1992,Canada,-,Technical death,Technical death Canada
Mercenary,245,1991,Denmark,1991,Melodic death Thrash Gothenburg Heavy,Melodic death Thrash Gothenburg Heavy Denmark
Pestilence,245,1986,The Netherlands,-,Death Progressive death Technical death,Death Progressive death Technical death The Netherlands
The Agonist,244,2004,Canada,2004,Metalcore Melodic death,Metalcore Melodic death Canada
Cavalera Conspiracy,243,2007,USA,-,Thrash,Thrash USA
Mudvayne,243,1996,USA,1996,Nu Alternative,Nu Alternative USA
Origin,243,1997,USA,-,Technical death,Technical death USA
The Ocean,243,2000,Germany,2000,Post-metal Sludge Hardcore,Post-metal Sludge Hardcore Germany
Vintersorg,243,1994,Sweden,-,Black Progressive Folk,Black Progressive Folk Sweden
Voivod,243,1982,Canada,1982,Thrash Progressive,Thrash Progressive Canada
Fates Warning,242,1982,USA,-,Us power Progressive,Us power Progressive USA
Skid Row,240,1987,USA,1987,Heavy Hard rock,Heavy Hard rock USA
Unexpect,239,1996,Canada,2015,Extreme avantgarde,Extreme avantgarde Canada
Vital Remains,239,1989,USA,1989,Death,Death USA
Kvelertak,238,2007,Norway,-,Blackened hardcore Punk,Blackened hardcore Punk Norway
1349,236,1997,Norway,1997,Black,Black Norway
Mötley Crüe,236,1981,USA,2015,Glam rock Glam,Glam rock Glam USA
Tankard,236,1982,Germany,1982,Thrash,Thrash Germany
Dragonland,235,1999,Sweden,-,Symphonic power,Symphonic power Sweden
Cattle Decapitation,234,1996,USA,1996,Deathgrind Goregrind,Deathgrind Goregrind USA
Revocation,234,2006,USA,-,Technical death Thrash,Technical death Thrash USA
Pagan's Mind,233,2000,Norway,2000,Progressive Power,Progressive Power Norway
Artillery,232,1982,Denmark,-,Thrash,Thrash Denmark
Shade Empire,232,1999,Finland,1999,Symphonic black,Symphonic black Finland
Arsis,231,2000,USA,-,Melodic death Technical death,Melodic death Technical death USA
Autopsy,231,1987,USA,1987,Death,Death USA
Dark Fortress,230,1994,Germany,-,Black,Black Germany
Lake Of Tears,230,1992,Sweden,1992,Gothic Doom,Gothic Doom Sweden
Daylight Dies,229,1996,USA,-,Melodic death Doom,Melodic death Doom USA
Lost Horizon,229,1990,Sweden,1990,Power,Power Sweden
TesseracT,226,2003,United Kingdom,-,Progressive math Djent,Progressive math Djent United Kingdom
Keep Of Kalessin,222,1994,Norway,1994,Black Melodic black Progressive black,Black Melodic black Progressive black Norway
Toxic Holocaust,222,1999,USA,-,Blackened thrash Crossover thrash,Blackened thrash Crossover thrash USA
Possessed,220,1983,USA,1983,Death Thrash,Death Thrash USA
3 Inches Of Blood,219,1999,Canada,2015,Heavy Power,Heavy Power Canada
Allegaeon,218,2005,USA,2005,Technical death Melodic death,Technical death Melodic death USA
Beyond Creation,217,2005,Canada,-,Technical death Progressive death,Technical death Progressive death Canada
Catamenia,215,1995,Finland,1995,Melodic black Melodic death Heavy,Melodic black Melodic death Heavy Finland
Def Leppard,215,1977,United Kingdom,-,New wave of british heavy Hard rock,New wave of british heavy Hard rock United Kingdom
Hatebreed,215,1994,USA,1994,Hardcore Metalcore,Hardcore Metalcore USA
Heavenly,215,1994,France,-,Power,Power France
Heidevolk,215,2002,The Netherlands,2002,Folk,Folk The Netherlands
Soundgarden,215,1984,USA,-,Grunge  Stoner,Grunge  Stoner USA
Textures,215,2001,The Netherlands,2001,Progressive math,Progressive math The Netherlands
Sigh,214,1989,Japan,-,Death Black Avantgarde Thrash,Death Black Avantgarde Thrash Japan
Antimatter,213,1998,United Kingdom,1998,Atmospheric rock,Atmospheric rock United Kingdom
